DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2/1/2021 00:00:00,7.5,17875,5,4.2,59,1023,4.3,3957,3896
2/1/2021 00:15:00,7.5,17892,5,4.2,59,1023,4.5,4788,4715
2/1/2021 00:30:00,7.5,17887,5,4.2,58,1023,4.3,5536,5929
2/1/2021 00:45:00,7.5,17882,4,4.1,57,1022,3.6,4509,5668
2/1/2021 01:00:00,7.5,17877,4,4.1,56,1022,3.4,4695,5125
2/1/2021 01:15:00,7.4,17683,4,4.1,56,1022,3.4,4832,5432
2/1/2021 01:30:00,7.3,17302,4,4,55,1022,2.9,3378,4158
2/1/2021 01:45:00,7.2,16921,4,3.9,55,1022,3.1,3009,3533
2/1/2021 02:00:00,7.1,16540,4,3.8,54,1022,3.1,2589,3009
2/1/2021 02:15:00,6.9,16168,5,3.8,54,1022,3,2795,3439
2/1/2021 02:30:00,6.8,15805,7,3.7,54,1022,3.1,2399,3249
2/1/2021 02:45:00,6.8,15442,8,3.6,54,1022,3.1,2193,2814
2/1/2021 03:00:00,6.7,15079,9,3.5,54,1022,2.9,1678,2018
2/1/2021 03:15:00,6.6,14783,11,3.5,54,1022,2.9,1996,2346
2/1/2021 03:30:00,6.6,14555,12,3.5,53,1022,3.7,3020,3570
2/1/2021 03:45:00,6.6,14328,13,3.4,53,1022,4,4072,4905
2/1/2021 04:00:00,6.6,14100,14,3.4,52,1022,4.7,5467,5643
2/1/2021 04:15:00,6.6,14070,16,3.4,52,1022,5.9,11269,10574
2/1/2021 04:30:00,6.8,14239,16,3.4,51,1022,6.9,16666,16612
2/1/2021 04:45:00,6.8,14407,17,3.4,51,1022,7.3,18693,19927
2/1/2021 05:00:00,6.9,14576,18,3.4,50,1022,7.4,19452,21359
2/1/2021 05:15:00,7.1,14819,18,3.4,50,1022,7.5,19736,24302
2/1/2021 05:30:00,7.2,15137,19,3.5,49,1022,7.3,18935,20828
2/1/2021 05:45:00,7.3,15456,19,3.6,48,1022,7.5,21827,24491
2/1/2021 06:00:00,7.4,15774,20,3.7,47,1022,7.6,18179,22605
2/1/2021 06:15:00,7.5,16217,20,3.7,47,1022,7.7,20667,23543
2/1/2021 06:30:00,7.6,16786,21,3.8,46,1022,8,23268,25026
2/1/2021 06:45:00,7.7,17354,21,3.9,46,1022,7.3,18638,21234
2/1/2021 07:00:00,7.8,17923,21,4,45,1022,7.8,20868,22974
2/1/2021 07:15:00,7.9,18196,20,4.3,44,1022,7.6,19944,25679
2/1/2021 07:30:00,7.9,18173,19,4.8,43,1022,7.4,18995,20422
2/1/2021 07:45:00,8,18151,18,5.4,41,1022,7.2,19046,21501
2/1/2021 08:00:00,8.1,18128,17,5.9,40,1022,7.4,19507,23883
2/1/2021 08:15:00,8,18158,17,6.5,39,1022,7.5,18716,23239
2/1/2021 08:30:00,8.1,18239,17,7,38,1022,7.8,21571,24824
2/1/2021 08:45:00,8,18320,18,7.6,38,1023,7.8,21511,22503
